data,model,enc_zx_nhid,test_I_xz_mean,test_I_xz_std,train_I_xz_mean,train_I_xz_std,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_d_DIQ_xz_mean,train_d_DIQ_xz_std,train_H_zCx_mean,train_H_zCx_std,test_H_zCx_mean,test_H_zCx_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,train_d_H_Q_xCz_mean,train_d_H_Q_xCz_std,train_h_delta_acc_mean,train_h_delta_acc_std,train_z_norm_mean,train_z_norm_std,test_z_norm_mean,test_z_norm_std,train_z_mean_norm_mean,train_z_mean_norm_std,test_z_mean_norm_mean,test_z_mean_norm_std,train_z_std_mean,train_z_std_std,test_z_std_mean,test_z_std_std,run_count
bincifar100,cdib,1024,,,,,0.9987933993339538,0.0013876310513917963,-5.72446985244751,1.3583754409883042,0.0,0.0,,,,,0.0012066000723280012,0.001387643365753356,6.72446985244751,1.3583754409883042,0.5147999999999999,0.01931838502566922,-0.0008363460298746216,0.0009618425569441642,-4.661047235385679,0.9415540383732858,9.99773941040039,0.0028611875804589147,0.0037600000000000016,0.0059873199346619195,1.006478190422058,0.03284603243238624,1.0144387125968932,0.024327756775551355,2.6074791431427,0.6048935381345513,2.6133153438568115,0.6023185555518246,0.00538998544216156,0.0018179640952703544,0.005293604778125883,0.001918267247830728,5
bincifar100,cdibXL,8192,,,,,0.9920631885528565,0.009620498452499335,-5.157169008255005,1.9651208202955948,0.0,0.0,,,,,0.007936817704467103,0.009620500265995386,6.157169008255005,1.9651208202955948,0.5156000000000001,0.02351169921549698,-0.005501377759068987,0.0066684221402436485,-4.267824143936616,1.3621177662448933,9.99773941040039,0.002861187580458952,-8.000000000000133e-05,0.00876196325032239,1.0413583397865296,0.05629311988610078,1.0158852458000183,0.015350848685604594,3.4951647758483886,1.4779362097198856,3.5231239795684814,1.5413419695920096,0.005214561289176345,0.0016602500516901659,0.004992953920736909,0.0012497111735038583,5
bincifar100,cdibXS,1,,,,,0.9988601803779602,0.0013943528478164774,-3.7191951274871826,1.4650786921608514,0.0034345269203186037,0.0035820176872133603,,,,,0.0011398385482607408,0.001394352514105216,4.719195127487183,1.4650786921608516,0.5104,0.020755722102591384,-0.0007900721719229038,0.0009664923049281097,-3.27109679548892,1.0155153411233262,9.994304656982422,0.0047874454008158575,-0.004120000000000003,0.006249159943544418,1.1406476140022277,0.16208954287272478,0.846468985080719,0.10037786979101156,2.073791980743408,0.432338973175495,1.895392370223999,0.4789774994781564,0.00449581709690392,0.002078714714400754,0.004251713817939162,0.0019536392664412203,5
bincifar100,erm,1024,,,,,0.9996335864067077,0.0002175838089723828,-0.7474448919296265,0.5329174491869438,,,,,,,0.000366428370034555,0.00021758330807105394,1.7474448919296264,0.5329174491869438,0.5196,0.02061067684478124,-0.0002540223505775259,0.0001508022340182764,-1.2112364205482848,0.3693901287064865,,,,,,,,,,,,,,,,,5
bincifar100,vib01,1024,5.678691005706787,0.8647206696100537,10.240079879760742,2.0490398439416664,0.9998010873794556,0.00027208844115895396,-1.0077849864959716,0.3843065840584824,,,-2.2115912675857543,0.9553249460079086,-2.021317946910858,0.9524508023101155,0.00019891574920620768,0.000272086218011007,2.0077849864959716,0.3843065840584825,0.5107999999999999,0.02394159560263264,-0.00013787315430954832,0.00018859735200022602,-1.3916905240597939,0.2663810464464265,,,,,1.6043372869491577,0.12636951457445464,0.3197817951440811,0.1227273004291246,1.7129019498825073,0.20383911246603154,0.596958327293396,0.039249926594887796,0.1845478445291519,0.07328644731283875,0.2089221090078354,0.08084793593141229,5
binmnist,cdib,1024,,,,,0.9996420383453369,0.00015305932311557993,-0.12152622938156128,0.19288056087945013,0.001868867874145508,0.00417598406437376,,,,,0.0003117784654023126,0.00015306391699233677,1.1214800357818604,0.19288056087945005,0.9039999999999999,0.011999999999999959,-0.0002161027596482228,0.0001060941957939978,-0.7773506959914069,0.13369458898894793,9.995011520385741,0.0029977017436348522,0.006160000000000004,0.006126010120788244,1.020200514793396,0.024823255389392878,1.0061432600021363,0.025146682231894202,2.4083149433135986,0.15851872297300446,2.3977964878082276,0.17857943753155672,0.01055240137502551,0.01194381287447591,0.010412565898150206,0.012193098788391539,5
binmnist,cdibXL,8192,,,,,0.9977267265319825,0.0019597743173365672,0.1891391634941101,0.11448066558551623,0.0,0.0,,,,,0.0022270810441114004,0.0019597819493345704,0.810814642906189,0.11448066558551626,0.9040000000000001,0.015620499351813337,-0.0015436892262535563,0.00135841808112507,-0.5620138714667773,0.0793519478109989,9.996880340576173,0.002429546143927998,0.0004,0.005592852581643828,1.0150115489959717,0.052433538906529055,0.9936340093612671,0.02573671954806779,2.9608437061309814,0.45499508723709453,2.9397927284240724,0.5067962898229522,0.015099823661148547,0.009948514079329505,0.014643992763012648,0.009439049191745794,5
binmnist,cdibXS,1,,,,,0.9998561263084411,2.394421035512347e-05,0.43386114835739137,0.1057184289423661,0.0037020087242126466,0.003977118326689199,,,,,9.76701223407872e-05,2.3949537991767886e-05,0.5660926640033722,0.10571841572638313,0.9176,0.008988882021697708,-6.769213231583535e-05,1.6599820059016937e-05,-0.39238550394572547,0.0732784101387474,9.993178176879884,0.002476462528712565,-0.0031600000000000005,0.007237955512435823,1.053920817375183,0.04015009001533944,0.9684886336326599,0.029607801837775404,1.8393069982528687,0.28201333595237915,1.7940789222717286,0.32571492230937754,0.008098260127007961,0.0032199633940921363,0.007916692923754454,0.0035298669609002756,5
binmnist,erm,1024,,,,,0.9999086618423462,8.9206669876935e-06,0.5210673809051514,0.03653546274545959,,,,,,,4.514173269853927e-05,8.938468561708081e-06,0.4788864254951477,0.036535462745459574,0.8916000000000001,0.020851858430365387,-3.133969509904659e-05,6.203264332278385e-06,-0.3319387821580014,0.025324461174819745,,,,,,,,,,,,,,,,,5
binmnist,vib01,1024,5.1412177085876465,0.7189886300875888,6.59628438949585,0.5851459117233329,0.9998925566673279,5.323632484452669e-06,0.49602800607681274,0.07593981989258138,,,-1.4210129857063294,0.3755114532569229,-1.2926071763038636,0.4434428855598795,6.124991123215295e-05,5.3161902911731476e-06,0.5039257943630219,0.07593982056900439,0.8708,0.02488372962399328,-4.244951393950771e-05,3.684769678622351e-06,-0.3492947209876277,0.052637486399502185,,,,,1.4009560108184815,0.1397125783937137,0.5952450037002563,0.05284645247011151,1.2045544862747193,0.1022414335543476,0.7113272190093994,0.11422773093066348,0.18214357793331146,0.015071276498894032,0.19389651715755463,0.01939141597998058,5
