model,beta,mchead,test_accuracy_mean,test_accuracy_std,test_loglike_mean,test_loglike_std,train_accuracy_mean,train_accuracy_std,train_loglike_mean,train_loglike_std,run_count
cdib,0.01,1,0.45883333333333337,0.0006806859285554084,-5.440734348010143,0.042745542120474024,0.9974814814814815,0.0006730558039466511,-0.010876609094498871,0.0017531204919442552,3
cdib,0.01,3,0.46773333333333333,0.003952636251077688,-5.27119599960684,0.0681301908348638,0.9976740740740743,0.00016679007776578887,-0.01005108206380051,0.0004952961471134869,3
cdib,0.01,5,0.47173333333333334,0.004687572221665887,-5.201108136945616,0.09143492762486059,0.9980666666666668,0.0008540390600255528,-0.008820003754050934,0.002116027380482247,3
cdib,0.1,1,0.47459999999999997,0.0029715315916207484,-3.9059714026202044,0.2620871242089057,0.9897851851851852,0.00852784352731309,-0.03298155977088543,0.023845774996832336,3
cdib,0.1,3,0.4221333333333333,0.010074886269002398,-4.191214799464905,0.09199047530541143,0.9958666666666667,0.0008652409926192244,-0.022360385017068496,0.003159989540027271,3
cdib,0.1,5,0.39720000000000005,0.006255397669213342,-4.336817202247594,0.1084781061689276,0.9964222222222223,0.00045919951821711563,-0.0245460525553254,0.0030154287419424113,3
cdib,1.0,1,0.48736666666666667,0.021757144420473308,-2.465625529708845,0.08176261646413027,0.9761925925925926,0.024434809548991153,-0.09400961162741232,0.07032971874220471,3
cdib,1.0,3,0.47806666666666664,0.006178457196852089,-2.5368228635388603,0.04271745048441906,0.9941185185185186,0.0057635008793988,-0.036512629827490685,0.01604752616215911,3
cdib,1.0,5,0.4809333333333334,0.010341340983321897,-2.5270067085943193,0.09344605462320028,0.9972,0.00036717136981895574,-0.0278744402177182,0.0012515209506394163,3
cdib,10.0,1,0.5252666666666667,0.005953430383680778,-1.4078512500636409,0.038223892960582206,0.6900148148148147,0.039404557819556,-0.8910841502280306,0.10791508076877988,3
cdib,10.0,3,0.5144333333333333,0.0021361959960016284,-1.614227739659251,0.0741837941483678,0.8913555555555556,0.028425141019444537,-0.40066529330641587,0.07900744474991944,3
cdib,10.0,5,0.5024666666666666,0.010626539104211317,-1.844257045061808,0.06953307206150379,0.9564,0.0073228544660442225,-0.20648201095033192,0.025283666954921916,3
cdib,100.0,1,0.36343333333333333,0.00887937685501257,-1.8117931862468524,0.03882007800559828,0.3623111111111111,0.01116263608850726,-1.8079522597317343,0.041635301422707466,3
cdib,100.0,3,0.4014,0.007950471684120376,-1.7201850578223665,0.011916025838750725,0.40571111111111113,0.010507774899251268,-1.7070586492483262,0.018097589887644795,3
cdib,100.0,5,0.43016666666666664,0.007414400402819709,-1.6525869981509942,0.021512717016042997,0.4402074074074074,0.004336029550565159,-1.6230694059432798,0.02296037499671077,3
cdibsameidcs,0.01,1,0.45883333333333337,0.0006806859285553874,-5.440734348010143,0.042745542120473656,0.9974814814814815,0.0006730558039466511,-0.01087660909449887,0.0017531204919442557,3
cdibsameidcs,0.01,3,0.46799999999999997,0.0011135528725659978,-5.242850798814776,0.0975694673464554,0.9979333333333334,0.00022553092366873854,-0.009546295302799344,0.0005545828485804668,3
cdibsameidcs,0.01,5,0.47703333333333336,0.009650043177796355,-5.129404612571899,0.0820065256340361,0.9982962962962962,0.00021923923832515115,-0.0084208476276034,0.0007209332548028862,3
cdibsameidcs,0.1,1,0.47459999999999997,0.0029715315916207297,-3.9059714026202044,0.26208712420890545,0.9897851851851852,0.00852784352731309,-0.03298155977088543,0.023845774996832336,3
cdibsameidcs,0.1,3,0.43929999999999997,0.006030754513325843,-4.198242000867286,0.03258382322664646,0.995437037037037,0.00121601115437826,-0.02061672149184,0.004146336052885277,3
cdibsameidcs,0.1,5,0.4227,0.009599999999999997,-4.387368300632033,0.20424768833532783,0.9956222222222223,0.0012584529008683348,-0.02067722261852981,0.004382339980348585,3
cdibsameidcs,1.0,1,0.48736666666666667,0.02175714442047331,-2.465625529708845,0.0817626164641307,0.9761925925925926,0.024434809548991212,-0.09400961162741232,0.07032971874220471,3
cdibsameidcs,1.0,3,0.48836666666666667,0.011123998082224442,-2.5812486808247797,0.11647666648049917,0.9848444444444445,0.018070083044484563,-0.05837203296183593,0.0504609832374953,3
cdibsameidcs,1.0,5,0.48056666666666664,0.009327557736799776,-2.632258719038781,0.15311152773329043,0.9944074074074073,0.0027963232767891024,-0.03284440916853251,0.009408974507426683,3
cdibsameidcs,10.0,1,0.5252666666666667,0.005953430383680721,-1.407851250063641,0.038223892960582234,0.6900148148148149,0.03940455781955599,-0.8910841502280306,0.10791508076877986,3
cdibsameidcs,10.0,3,0.5097666666666667,0.004660829682935639,-1.69112682754815,0.03790147817057054,0.8861259259259259,0.022111784839912423,-0.39096926998128484,0.0658281387816804,3
cdibsameidcs,10.0,5,0.5078999999999999,0.0012489995996796711,-1.8583419439595108,0.028854074439669,0.9550074074074072,0.0063193347568827885,-0.20072980771561624,0.019394816865693644,3
cdibsameidcs,100.0,1,0.36343333333333333,0.008879376855012586,-1.8117931862468524,0.03882007800559828,0.3623111111111111,0.011162636088507264,-1.8079522597317341,0.04163530142270748,3
cdibsameidcs,100.0,3,0.3905666666666667,0.013494566807916938,-1.7341388398125768,0.0470490061045418,0.391,0.019082316809413268,-1.7231783233790763,0.054899653519166536,3
cdibsameidcs,100.0,5,0.42230000000000006,0.01751199588853309,-1.658110742885868,0.040002649308141736,0.4291925925925926,0.018876549346380514,-1.6336812886529772,0.04908442674750221,3
