data,encoder,train_DIQ_yz_mean,train_DIQ_yz_std,test_DIQ_yz_mean,test_DIQ_yz_std,train_H_Q_yCz_mean,train_H_Q_yCz_std,test_H_Q_yCz_mean,test_H_Q_yCz_std,train_acc_mean,train_acc_std,test_acc_mean,test_acc_std,train_loglike_mean,train_loglike_std,test_loglike_mean,test_loglike_std,run_count
cifar10,width128,2.833212544701316,0.012669761242010314,0.22453705787658693,0.02362350230288666,0.48871548094532713,0.012669770869861877,3.097390966415405,0.02362350230288655,0.9176755555555556,0.003911824429900988,0.47922000000000003,0.0018992103622295158,-0.33874781796109976,0.00877658879128782,-2.1464694639702393,0.01622168545385141,5
cifar10,width2048,3.321903402155096,2.0818312097733822e-05,-3.449195537567138,0.43664258523571226,2.4630030950654396e-05,2.080049718153654e-05,6.771123561859132,0.43664258523571203,1.0,0.0,0.5301199999999999,0.004414408227611034,-1.714655681935672e-05,1.4412265093904778e-05,-4.65717033381629,0.2925516648386164,5
cifar10,width32,1.8818300106308676,0.009555044407627932,1.0158311653137206,0.012430220167835428,1.4400980136611246,0.009555044407627982,2.3060968589782718,0.012430220167835493,0.6557911111111112,0.0023467655703063636,0.4710599999999999,0.0022842942017174857,-0.9982033214149544,0.006605566686332928,-1.5979818209969492,0.008313780333374439,5
cifar10,width512,3.3213939688422465,0.00010628240101517862,-4.046584777832032,0.1336527458472953,0.0005340576513183557,0.00010627708805062137,7.368512802124023,0.1336527458472955,1.0,0.0,0.49758,0.003397351909943969,-0.000370203541576971,7.366847700078234e-05,-5.0659546724781315,0.09344388981479891,5
cifar10,width8192,3.3219174124977804,6.972513513615027e-06,-2.6460755348205565,0.1908016014594849,1.0621163755786257e-05,6.97242733004437e-06,5.968003559112549,0.19080160145948527,1.0,0.0,0.5541200000000001,0.0023552069972723054,-7.447140824518531e-06,4.82743426291012e-06,-4.117760204147383,0.12848252900728696,5
svhn,width128,3.041537729899088,0.006726072750326627,1.78202894284175,0.017382574220108717,0.18490674992402395,0.006726073685902932,1.4444155399615948,0.017382574220108672,0.9714641064142816,0.0012954391914851199,0.8103411186232329,0.0019094244177202152,-0.1278658541303821,0.004357968590661619,-0.9986590999747902,0.011379342810405545,5
svhn,width2048,3.2261324116677947,5.503148962677939e-05,0.6092332766606258,0.051141059223113614,0.00031206555131851047,5.503172682492379e-05,2.6172112061427186,0.05114105922311372,0.9999787656792707,8.307511754634102e-06,0.8260448678549478,0.001085364291146725,-0.00021742006911861685,3.826743635074367e-05,-1.7440170227134915,0.0301988772602488,5
svhn,width32,2.6446345054742064,0.012347684733020657,2.0121577134499185,0.013366752412769072,0.581809980580301,0.012347699550862899,1.2142867766893826,0.013366754404276551,0.8803294353187423,0.0020183720568231925,0.7871850030731408,0.0033693050323828906,-0.40325061677899443,0.007916891740487207,-0.8430253494733044,0.008579707285238429,5
svhn,width512,3.223111687284527,0.0002575141745339682,0.7339616958911602,0.032273048944497396,0.0033327909567478025,0.00025750826796752934,2.492482786912185,0.03227304894449719,0.9999787656792707,8.30751175464086e-06,0.8169944683466503,0.001539688369993189,-0.002312725945890844,0.00017041804476500557,-1.6784426630555669,0.021891637411582007,5
svhn,width8192,3.22632040977478,3.8543252000092024e-05,0.4544103328998273,0.08199135206775203,0.00012408056460447948,3.854511213723829e-05,2.7720341499035177,0.08199135206775214,0.999975732204881,8.30751175464086e-06,0.8274431468961279,0.002779929302609178,-8.703036699791718e-05,2.7039030987128302e-05,-1.8271038298902318,0.052438103462841536,5
