data,encoder,run,train_DIQ_yz_toagg,test_DIQ_yz_toagg,train_H_Q_yCz_toagg,test_H_Q_yCz_toagg,train_acc_toagg,test_acc_toagg,train_loglike_toagg,test_loglike_toagg
cifar10,width128,3,2.8285733353007925,0.21379737854003905,0.4933547133749182,3.1081306457519533,0.9176666666666666,0.4766,-0.3419636821690678,-2.153350859518871
cifar10,width128,2,2.8528031652623955,0.1890953540802002,0.4691248441284353,3.132832670211792,0.9230888888888888,0.4797,-0.3251697734186409,-2.170964629803876
cifar10,width128,0,2.825524611906572,0.2345103740692139,0.4964033974842592,3.087417650222778,0.9152,0.4798,-0.3440737196154693,-2.1399057358550166
cifar10,width128,1,2.838278315284036,0.2353662967681885,0.4836497062986547,3.0865617275238035,0.9194888888888888,0.4783,-0.33525090588241063,-2.1392728788023736
cifar10,width128,4,2.8208832957527856,0.24991588592529296,0.501044743440368,3.0720121383666994,0.9129333333333334,0.4817,-0.3472810087199104,-2.128853215871061
cifar10,width512,2,3.32125047120181,-3.866015625,0.0006775555878200313,7.187943649291992,1.0,0.4964,-0.00046967262788453253,-4.9435603722140895
cifar10,width512,3,3.3213874210010874,-3.9618678092956543,0.0005405950994992799,7.2837958335876465,1.0,0.5023,-0.00037471927193312806,-5.000671743695391
cifar10,width512,1,3.3213427283547143,-4.073359394073487,0.0005852933126417072,7.395287418365479,1.0,0.4974,-0.00040573138693060235,-5.086262921999381
cifar10,width512,0,3.3215234713120894,-4.130419540405273,0.00040457102956927633,7.4523475646972654,1.0,0.493,-0.00028045261334938044,-5.1244776440536155
cifar10,width512,4,3.3214657523415307,-4.201261520385741,0.0004622732270614837,7.5231895446777335,1.0,0.4988,-0.0003204418077872115,-5.17480068042818
cifar10,width8192,1,3.3219200372695923,-2.632844638824463,7.999957357572963e-06,5.954772663116455,1.0,0.5573,-5.626002085941195e-06,-4.112685753143422
cifar10,width8192,0,3.3219117793169888,-2.5378220558166498,1.625068361218754e-05,5.859750080108642,1.0,0.5545,-1.134450673809479e-05,-4.038739054166018
cifar10,width8192,4,3.3219238736412744,-2.8265538215637207,4.159798415705816e-06,6.148481845855713,1.0,0.5552,-2.977565403319065e-06,-4.239896602497645
cifar10,width8192,2,3.3219083330848,-2.3936272621154786,1.97024748393398e-05,5.7155552864074695,1.0,0.5518,-1.3736423145872185e-05,-3.9502135486801135
cifar10,width8192,3,3.3219230391762475,-2.8395298957824706,4.992904554125165e-06,6.161457920074463,1.0,0.5518,-3.5512067493654183e-06,-4.247266062249719
cifar10,width32,2,1.887520643797788,1.0088216304779052,1.4344073804942044,2.313106393814087,0.6558888888888889,0.4672,-0.9942546250711378,-1.6028419783244816
cifar10,width32,3,1.8898828517306931,1.0141876220703123,1.4320451725612988,2.3077404022216803,0.6585777777777778,0.4709,-0.992640414040341,-1.5989655107764191
cifar10,width32,4,1.8685664426196704,1.0262447357177735,1.4533615816723218,2.2956832885742187,0.6522,0.4722,-1.0073658970771244,-1.5908164003401437
cifar10,width32,1,1.8748104355551982,0.9998476982116701,1.4471175887367942,2.3220803260803224,0.6554,0.47200000000000003,-1.0030673023988879,-1.6086343660601368
cifar10,width32,0,1.8883696794509888,1.0300541400909424,1.4335583448410034,2.29187388420105,0.6568888888888889,0.473,-0.9936883684872806,-1.5886508494835645
cifar10,width2048,3,3.3219140334562822,-3.540964317321777,1.4012316569278482e-05,6.86289234161377,1.0,0.529,-9.787502714077807e-06,-4.712362793801302
cifar10,width2048,2,3.321920449083501,-3.7826313018798823,7.597523087745437e-06,7.104559326171875,1.0,0.5304,-5.3479853466721286e-06,-4.875290576627347
cifar10,width2048,0,3.321896878155795,-3.3279212951660155,3.1158640509106184e-05,6.649849319458008,1.0,0.5234,-2.1665617439532208e-05,-4.57959009150095
cifar10,width2048,1,3.3218697634610264,-2.7577251434326167,5.823553891042882e-05,6.079653167724611,1.0,0.5351,-4.043339818379997e-05,-4.19423632466658
cifar10,width2048,4,3.3219158866188745,-3.8367356300354,1.2146135676713044e-05,7.158663654327393,1.0,0.5327,-8.498280412701498e-06,-4.924371882485271
svhn,width2048,2,3.226179159048832,0.6223568366124079,0.0002653243070447141,2.6040876461909366,0.9999848326280504,0.8268285187461586,-0.0001851148148135084,-1.7345924578539689
svhn,width2048,3,3.2261308034261074,0.6191453750316913,0.0003136815507649303,2.607299107771653,0.9999696652561012,0.8269821757836509,-0.00021853337084888703,-1.7349179518930806
svhn,width2048,1,3.22610795136654,0.6266259963695819,0.00033653303222363866,2.5998184864337626,0.9999696652561012,0.8244084204056545,-0.00023373022692347852,-1.740396888807994
svhn,width2048,0,3.2260545672792382,0.6563667700840876,0.0003899021336992243,2.570077712719257,0.9999848326280504,0.8254840196681008,-0.00027195641579313404,-1.7149765989007917
svhn,width2048,4,3.2261895772182583,0.5216714052053598,0.000254886732860045,2.704773077597985,0.9999848326280504,0.8265212046711742,-0.00017776551721407618,-1.795201216111621
svhn,width32,2,2.664597663012418,2.005494943031898,0.5618467945041079,1.2209495489413922,0.8831202317574434,0.7890288875230486,-0.3904978522926892,-0.8469370693371326
svhn,width32,3,2.6377488266338003,2.0340360219662013,0.5886956724253568,1.1924084700070894,0.8783425095933628,0.7901429010448678,-0.4081872873943505,-0.8286632322108431
svhn,width32,1,2.6318525834517046,1.998744029265184,0.594591908382647,1.2277004718780518,0.8783728443372617,0.7819222495390289,-0.4111728219450936,-0.8509591046536081
svhn,width32,0,2.6439868103374136,2.0135014607356143,0.5824576778845354,1.2129430220677302,0.8807237869894283,0.7890673017824217,-0.4038824027253089,-0.8424448763363394
svhn,width32,4,2.644986643935695,2.0090121122506948,0.5814578497048579,1.21743237055265,0.8810878039162154,0.7857636754763369,-0.4025127195375298,-0.8461224648285992
svhn,width8192,1,3.2263145374529287,0.5111021628746619,0.00012995422862745315,2.7153423199286832,0.9999696652561012,0.827020590043024,-9.096498304455891e-05,-1.789771278415067
svhn,width8192,0,3.2262791070071133,0.5380861942584698,0.000165388108033574,2.6883582885448747,0.9999696652561012,0.8313229870928088,-0.0001160195519003197,-1.7673650571246533
svhn,width8192,4,3.2263694098501494,0.3259145113138052,7.506061614769737e-05,2.90052997148954,0.9999848326280504,0.8271358328211432,-5.270812461354245e-05,-1.9033789620173367
svhn,width8192,2,3.2263494910615864,0.4416528481703538,9.502124455387026e-05,2.784791634632991,0.9999848326280504,0.8281730178242164,-6.663944071946629e-05,-1.836396977144064
svhn,width8192,3,3.2262895035021226,0.4552959478818454,0.00015497862565980265,2.7711485349214997,0.9999696652561012,0.8235633066994469,-0.00010881973471169852,-1.8386068747500388
svhn,width128,2,3.05245142994505,1.7870588486011212,0.17399304608503974,1.4393856342022235,0.9733205927408958,0.8134219422249539,-0.12061719383151698,-0.9947718639977552
svhn,width128,3,3.0389480590820312,1.7781623968711266,0.18749639888604486,1.448282085932218,0.9710758216923754,0.8089274738783037,-0.12981318533516792,-1.001307893639587
svhn,width128,1,3.0341864715922964,1.7999800535348744,0.19225800985639746,1.4264644292684705,0.9697107582169238,0.8098878303626306,-0.13198374094529902,-0.9869710626639172
svhn,width128,0,3.04048972418814,1.7542585042806773,0.1859547825473728,1.4721859785226674,0.9715915123386569,0.8086969883220652,-0.1294513374056818,-1.016862738115691
svhn,width128,4,3.0416129646879253,1.7906849109209502,0.18483151224526487,1.4357595718823946,0.971621847082556,0.8107713583282115,-0.12746381313424487,-0.993381941457001
svhn,width512,2,3.222844745173598,0.7861566726978009,0.0035997308141580133,2.440287810105544,0.9999848326280504,0.8176090964966195,-0.0024927356169557394,-1.6450207378119388
svhn,width512,3,3.2233906081228545,0.6975515989156871,0.003053875604757305,2.5288928838876576,0.9999848326280504,0.8164182544560541,-0.002125301503625938,-1.704534493227274
svhn,width512,1,3.2228506695140493,0.7241725371434138,0.0035937972592585007,2.5022719456599307,0.9999696652561012,0.8149200983405039,-0.002479272588782836,-1.6889703295582632
svhn,width512,0,3.22314385211829,0.7320560858799859,0.003300630600389206,2.4943883969233585,0.9999696652561012,0.8191072526121697,-0.0022973416902122372,-1.678113222057228
svhn,width512,4,3.2233285614938447,0.7298715848189133,0.0031159205051759877,2.4965728979844317,0.9999848326280504,0.8169176398279041,-0.0021689783298774667,-1.6755745326231313
